,description,emplacement,type,Surface m²,Price €,nb_piece
0,"Nous vous proposons cet appartement de trois pièces meublé. Situé au RDC d'une copropriété calme et bien entretenue, il se compose d'une entrée, séjour, cuisine aménagée et équipée, deux chambres, d'une salle de bains et d'une salle d'eau et WC. Appartement rénové. Charme de l'ancien (parquet, moulures, cheminée et hauteur sous plafond). Proche des commerces et des transports (Pont Cardinet). Contact : Fleur Gilleron à fgilleron@ (contact UNIQUEMENT par email).",75017, Appartement,85,2963,3
1,"APPARTEMENT 3 CHAMBRES + 1 BUREAU + 1 PATIO Cet appartement de 147m² + patio 10M2 se situe au 18 rue des Petites Ecuries, juste après la rue du Faubourg Poissionnière. Au premier étage sans ascenseur, il comprend: - Un très spacieux salon/salle à manger avec un espace détente/bibliothèque - Une cuisine équipée disposant d'un réfrigérateur, plaque vitrocéramique, four, micro-ondes, machine à laver, bouilloire, grille-pain, ustensiles de cuisine - 1 chambre avec lit 140­190cm donnant sur le patio - 1 chambre d'enfant avec lit simple et bureau - 1 chambre avec lits superposés et bureau - 1 bureau donnant sur le patio - 2 salles de bain dont une avec baignoire ainsi que 2 WC ­­ Le loyer comprend les charges de copropriété , hors internet/électricité. Disponible à la location pour une durée minimum de 6 mois. Cet appartement est une location professionnelle gérée par Pick A Flat.",75010, Appartement,147,4190,5
2,"Métro Jasmin, avenue Mozart, bel appartement 4 pièces non meublé en très bon état de 87m2 en rez-de-chaussée surélevé d'un très bel immeuble Haussmannien. L'appartement est composé de : une entrée, un séjour, une salle à manger, deux chambres, une cuisine séparée aménagée et semi équipée (four et plaques de cuisson), une salle de bain et un WC séparé. Parquet/moulures/cheminées. Chauffage collectif. Gardien dans l'immeuble. Proche commerces et écoles. Belles prestations. Petite cave.",75016, Appartement,87,2600,4
3,"PARIS 17 - A louer meublé 3 pièces, calme, emplacement exceptionnel à coté du square des Batignolles. Métro pont Cardinet Appartement comprenant, un salon, une chambre, un bureau, une cuisine, un salle d'eau avec WC. Une cave complète ce bien. Situé au dernier étage, lumineux, ancien, parquet, moulure, cheminée. Chauffage et eau chaude individuels. Loyer : 1330€ + 60€ de charges.",75017, Appartement,40,1390,3
4,"Cet appartement de 45 m² vient d'être rénové. Il est situé au 13 rue des Quincampoix, au premier étage sur cour dans un immeuble classé, il comprend : - Un double séjour - salle à manger - Une cuisine entièrement équipée sur mesure avec réfrigérateur, plaque vitrocéramique, four, micro-ondes, bouilloire, grille-pain, ustensiles de cuisine et machine à laver. - Une chambre avec lit double 160x200cm et un dressing - Une salle de bain avec douche avec toilettes. ­­ Le loyer comprend les charges de copropriété , hors internet/électricité. Disponible à la location pour une durée minimum de 6 mois et 12 mois maximum. Cet appartement est une location professionnelle gérée par Pick A Flat.",75004, Appartement,45,2190,2
5,"Appartement 2 pièces rue Anatole De La Forge Appartement à deux pas des Champs Elysées et de la Station Charles de Gaulle Etoile (rer A, ligne et 1) Nous vous proposons ce 2 pièces entièrement rénové situé au 7eme et dernier étage sans ascenseur L'appartement se compose d'une entrée avec rangement, un beau séjour lumineux et calme, une petite cuisine séparée et aménagée (plaques, frigo, lave linge) une salle d'eau avec WC et une grande chambre avec placard au calme sans vis à vis. Disponible de suite Eau froide, poubelles et entretiens des parties communes comprises dans les charges Chauffage et électricité individuels",75017, Appartement,31,1313,2
6,"(#PAR207) Démarrez votre nouvelle vie en beauté à Paris avec ce 2 pièces douillet proposé par Blueground. Vous vous sentirez comme chez vous dans cet appartement meublé haut de gamme, entièrement équipé et aménagé, situé à Trocadero. Avec Blueground, bénéficiez d'un service client 24/24 et 7/7 pour vous assister! Un appartement conçu spécialement pour vous Avec Blueground, vous disposez d'un espace bien pensé, d'un mobilier tendance, d'une cuisine entièrement équipée et aménagée dans ce joli 2 pièces. Grâce à nos matelas de qualité supérieure, et notre linge de maison haut de gamme, vous bénéficierez d'un confort incomparable. Envie de vous amuser ? Profitez de nos enceintes Marshall wifi ou de nos TV connectées ! Assistance à l'arrivée et au quotidien Tout l'appartement est à vous ! Vous serez accueilli par un membre de l'équipe de Blueground ou nous vous donnerons des instructions pour entrer dans les lieux par vous-même. À noter également Cet appartement Blueground peut être réservé pour une durée mensuelle et jusqu'à un an. 150.0 euros de charges d'électricité et d'internet sont en supplément.",75116, Appartement,77,3500,2
7,"2Y Foncier Conseil, PARIS 17, à 3 min du M°L3, à proximité immédiate des commerces et des écoles, dans une copropriété bien entretenue, un appartement de haut standing meublé, offrant entrée avec placard intégré, double séjour, salle à manger, cuisine fermée équipée aménagée, 2 chambres lumineuses, salle de bain et 1 W.C indépendants. Ce bien comporte une cave ainsi qu'une place de stationnement en sous-sol. Diagnostic en cours de réalisation. Honoraires locataire Bail 'Loi 89': 12 euros TTC / m² + état des lieux: 3 euros TTC / m² Honoraires Locataire Bail 'Code civil': 15% du loyer annuel Hors Charges + TVA.",75017, Appartement,93,2700,4
8,"LOCATION MEUBLÉE. 60 rue du COMMERCE. Au 1er étage sans ascenseur d'un immeuble ancien, un STUDIO comprenant : une Pièce principale, une cuisine aménagée (plaque de cuisson vitrocéramique, un four, un combiné réfrigérateur-congélateur, une lave-vaisselle), une salle d'eau avec wc (et lave-linge). Un cellier et une Cave complètent ce bien.",75015, Studio,32,1290,1
9,"Rue de Courcelles, métro Pereire, bel appartement 3 pièces meublé de 86m2 situé au 7ème étage avec ascenseur d'un immeuble 1950 et composé de : une entrée, un double séjour donnant sur la rue, une cuisine séparée entièrement équipée, deux chambres sur cour, une salle de douche, un wc séparé. chauffage et eau individuels électriques, cave. lave-linge séchant et doubles vitrages partout. Parties communes refaites récemment.",75017, Appartement,86,2900,3
